type,bridge,MV,path
VanGogh,0.68036014,0.6925793,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(267)_0000.png
VanGogh,0.68278015,0.62409157,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(268)_0000.png
VanGogh,0.03451674,0.9106371,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(269)_0000.png
VanGogh,0.58836484,0.7069601,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(270)_0000.png
VanGogh,0.7043061,0.61919653,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(271)_0000.png
VanGogh,0.8498567,0.63250923,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(272)_0000.png
VanGogh,0.60559416,0.6020821,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(273)_0000.png
VanGogh,0.0,0.91865844,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(274)_0000.png
VanGogh,0.19652805,0.6879817,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(275)_0000.png
VanGogh,0.17404053,0.89067686,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(276)_0000.png
VanGogh,0.5457816,0.66642463,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(277)_0000.png
VanGogh,0.3188316,0.8158486,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(278)_0000.png
VanGogh,0.62492174,0.6369403,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(279)_0000.png
VanGogh,0.20862922,0.8469948,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(280)_0000.png
